Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burundi,1.639999986,1.633000016,1.629999995,1.633999944,1.643000007,1.649000049,1.659999967,1.672999978,1.684000015,1.697000027,1.700999975,1.700999975,1.697000027,1.68900001,1.677999973,1.664999962,1.649000049,1.633999944,1.603999972,1.574000001,1.544999957,1.514999986,1.485999942,1.570000052,1.57099998,1.590999961,1.552999973
Belgium,6.989999771,6.699999809,8.079999924,9.649999619,9.340000153,9.479999542,8.960000038,9.319999695,8.649999619,6.590000153,6.179999828,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.354000092
Benin,1.506999969,1.50999999,1.417999983,1.332000017,1.241999984,1.156000018,1.069000006,0.986000001,0.90200001,0.819999993,0.74000001,0.689999998,0.751999974,0.81099999,0.866999984,0.921999991,0.975000024,1.024999976,1.072000027,1.039999962,2.650000095,2.644000053,2.637000084,2.631000042,2.627000093,2.54399991,2.46600008
Burkina Faso,2.608999968,2.599999905,2.601000071,2.599999905,2.578999996,2.555999994,2.526000023,2.5,2.555000067,2.602999926,2.65899992,2.707000017,2.779999971,3.375,4,2.329999924,3.299999952,3.749000072,4.190999985,4.65199995,5.097000122,5.548999786,6.002999783,6.5,6.493999958,6.390999794,6.303999901
Bangladesh,2.200000048,2.298000097,2.417000055,2.515000105,2.607000113,2.50999999,2.713999987,2.938999891,3.128999949,3.269999981,3.407999992,3.558000088,4.320000172,4.361999989,4.25,3.589999914,3.910000086,4.238999844,5,3.380000114,3.650000095,3.914000034,4.429999828,4.428999901,4.427000046,4.349999905,4.367000103
Bulgaria,21.24699974,21.39599991,21.38999939,20.17000008,15.90999985,13.75,13.69999981,12.19999981,14.10000038,16.21999931,19.92000008,18.11000061,13.72999954,12.03999996,10.07999992,8.949999809,6.880000114,5.610000134,6.820000172,10.27999973,11.26000023,12.27000046,12.93999958,11.42000008,9.140000343,7.570000172,6.278999805
Bahrain,6.349999905,6.453000069,6.361999989,6.089000225,5.860000134,5.829999924,5.730000019,5.730000019,5.681000233,5.587999821,5.5,7.375999928,8.342000008,9,7.831999779,6.828999996,5.794000149,4.715000153,3.661000013,1.129999995,1.230000019,1.200000048,1.236999989,1.22300005,1.192999959,1.251000047,1.309999943
"Bahamas, The",12.17000008,14.81000042,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,7.181000233,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.599999905,7.880000114,8.180000305,14.25,14.31799984,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,12.57299995
Bosnia and Herzegovina,17.54999924,18.41300011,19.72200012,21.50799942,22.39800072,21.41500092,22.20999908,23.26399994,24.57999992,25.38599968,26.34499931,27.01399994,27.93099976,28.6060009,29.80800056,31.10000038,28.93000031,23.29999924,24.03000069,27.20000076,27.60000038,28.04999924,27.45000076,27.52000046,26.26000023,25.05999947,25.57299995
Belarus,0.832000017,0.588999987,0.602999985,0.619000018,0.630999982,0.896000028,0.902999997,0.893999994,0.927999973,0.907999992,0.899999976,0.916999996,0.908999979,0.899999976,0.880999982,0.875,0.879000008,0.870999992,0.899999976,1.149999976,0.680000007,0.620000005,0.50999999,0.49000001,0.493000001,0.488000005,0.481000006
Belize,3.799999952,5.631999969,9.770000458,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,10.96100044,9.069999695,10.03999996,10.29599953,10.55099964,11.01000023,9.390000343,8.510000229,8.180000305,10.01399994,11.30000019,12.85999966,14.27000046,11.68000031,11.56999969,9.970000267,7.909999847,7.617000103
Bolivia,5.900000095,5.519999981,5.989999771,3.140000105,3.690000057,5.230000019,2.079999924,2.670000076,4.130000114,4.46999979,5.400000095,5.400000095,4.857999802,4.300000191,5.079999924,4.460000038,4.909999847,2.599999905,2.859999895,2.538000107,2.220000029,2.049999952,2.390000105,2.00999999,3.069999933,3.118000031,3.111000061
Brazil,10.1079998,6.420000076,6.03000021,10.50599957,5.949999809,6.769999981,7.679999828,8.899999619,9.609999657,13.92300034,9.350000381,9.109999657,9.729999542,8.890000343,9.31000042,8.390000343,8.090000153,9.461000443,8.279999733,8.361000061,6.690000057,7.190000057,6.989999771,6.670000076,8.43999958,11.60999966,12.88199997
Barbados,22.96100044,22.94000053,24.54000092,22.97999954,19.65999985,14.71000004,14.60999966,12.39999962,10.60999966,9.350000381,9.850000381,10.31999969,11,9.75,9.06000042,8.720000267,7.449999809,8.069999695,10.02000046,10.68999958,11.14000034,11.57999992,11.55000019,12.17000008,11.35000038,9.720000267,9.687000275
Brunei Darussalam,4.699999809,4.861000061,4.907000065,5.032999992,5.125,5.238999844,5.302999973,5.428999901,5.561999798,5.606999874,5.71600008,5.789999962,5.836999893,5.855999947,5.890999794,5.992000103,5.967000008,5.985000134,6.043000221,6.164000034,6.111999989,5.993999958,5.881000042,6.96999979,6.835999966,6.934999943,7.080999851
Bhutan,1.411999941,1.444000006,1.432000041,1.432000041,1.381000042,1.383999944,1.396999955,1.399999976,1.399999976,1.718999982,1.899999976,1.871999979,1.799999952,2.49000001,3.099999905,3.130000114,3.700000048,3.779999971,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,2.441999912,2.434999943
Botswana,13.81999969,16.45700073,18.32600021,21.20000076,21.2859993,21.57999992,20.95700073,20.86000061,18.41900063,15.88000011,18.54000092,21.79599953,23.79999924,22.26399994,20.70199966,17.79999924,17.38899994,16.96500015,16.17000008,17.86000061,17.75200081,17.71100044,17.66300011,17.58099937,17.49399948,17.91500092,18.10099983
Central African Republic,6.175000191,6.176000118,6.181000233,6.197999954,6.179999828,6.169000149,6.204999924,6.203000069,6.203999996,6.190999985,6.210000038,6.221000195,6.21600008,6.238999844,6.241000175,6.252999783,6.257999897,6.257999897,6.261000156,6.265999794,6.277999878,6.297999859,6.287000179,6.342999935,6.393000126,6.159999847,5.952000141
Canada,10.31999969,11.19999981,11.38000011,10.39999962,9.489999771,9.619999886,9.100000381,8.279999733,7.579999924,6.829999924,7.21999979,7.659999847,7.570000172,7.190000057,6.760000229,6.320000172,6.039999962,6.139999866,8.340000153,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7,6.428999901
Central Europe and the Baltics,11.15084196,11.43239346,11.98897764,11.99712743,11.11554652,10.16993365,9.164830487,8.952500301,10.3869258,12.43335463,13.23118916,13.74487421,12.96039957,12.93669193,12.05817027,10.10695033,7.8106003,6.608283507,8.490482674,9.903080551,9.789699695,9.977865848,10.04822422,8.951662183,7.815596525,6.486807683,5.415267042
Switzerland,1.779999971,2.809999943,3.720000029,3.880000114,3.329999924,3.710000038,4.199999809,3.599999905,3.150000095,2.670000076,2.49000001,2.920000076,4.119999886,4.320000172,4.440000057,4,3.650000095,3.349999905,4.119999886,4.809999943,4.409999847,4.480000019,4.75,4.829999924,4.800000191,4.920000076,4.787000179
Channel Islands,11.27799988,10.59200001,9.633000374,8.998000145,9.498999596,9.449999809,9.147999763,9.081000328,8.996999741,8.836999893,9.288000107,9.407999992,8.954999924,9.434000015,9.312000275,9.484999657,9.484999657,10.67300034,11.11999989,9.671999931,9.88599968,9.911000252,9.663999557,9.248999596,9.56000042,9.378000259,9.355999947
Chile,5.230000019,4.349999905,4.489999771,5.869999886,4.699999809,6.329999924,6.119999886,6.340000153,9.81000042,9.159999847,9.130000114,8.93999958,8.5,8.81000042,8,7.690000057,7.139999866,7.800000191,9.68999958,8.420000076,7.340000153,6.659999847,6.210000038,6.659999847,6.510000229,6.739999771,6.993000031
China,4.889999866,4.389999866,4.329999924,4.340000153,4.550000191,4.590000153,4.599999905,4.730000019,4.699999809,4.53000021,4.53000021,4.409999847,4.300000191,4.300000191,4.139999866,4,3.75999999,4.360000134,4.288000107,4.199999809,4.340000153,4.46999979,4.539999962,4.592999935,4.605000019,4.649000168,4.675000191
Cote d'Ivoire,6.695000172,6.699999809,6.044000149,5.386000156,4.099999905,4.105999947,4.110000134,4.099999905,4.013000011,3.924999952,3.838000059,3.75,3.664000034,3.578999996,3.494999886,3.410000086,3.325999975,3.242000103,3.15899992,3.075999975,2.990999937,2.914000034,2.83100009,2.747999907,2.664999962,2.599999905,2.599999905
Cameroon,7.97300005,7.991000175,8.001999855,8.012999535,8.038999557,8.06000042,7.936999798,7.806000233,7.668000221,7.531000137,7.460000038,6.605999947,5.751999855,4.894000053,4.400000095,3.559999943,2.900000095,3.223999977,3.545000076,4.110000134,4.367000103,4.616000175,4.859000206,4.320000172,4.295000076,4.268000126,4.254000187
"Congo, Dem. Rep.",3.632999897,3.63499999,3.634000063,3.637000084,3.651000023,3.647000074,3.64199996,3.645999908,3.644999981,3.641000032,3.65199995,3.664999962,3.674000025,3.678999901,3.680000067,3.686000109,3.690000057,3.693000078,3.694999933,3.697000027,3.700999975,3.704999924,3.707000017,3.707999945,3.707000017,3.691999912,3.694000006
